AgentIpAddress,AgentIpAddress6,hostname,caption,pingType,cluster,rack,suite,site,lat,long,city,state,country,continent,meshtype
10.255.0.101,,br-core1,br-core1,icmp,default,,,,41.8563,-87.6517,,,,,Absent
10.255.0.102,,br-dist1,br-dist1,icmp,default,,,,41.8563,-87.6517,,,,,Absent
10.255.0.103,,br-dist2,br-dist2,icmp,default,,,,41.8563,-87.6517,,,,,Absent
10.255.0.104,,br-acc1,br-acc1,icmp,default,,,,41.8563,-87.6517,,,,,Absent
10.255.0.106,,pe1,pe1,icmp,default,,,,41.8563,-87.6517,,,,,Absent
10.255.0.107,,pe2,pe2,icmp,default,,,,34.0522,-118.2437,,,,,Absent
10.255.0.108,,pe3,pe3,icmp,default,,,,41.8563,-87.6517,,,,,Absent
10.255.0.109,,pe4,pe4,icmp,default,,,,34.0522,-118.2437,,,,,Absent
10.255.0.110,,p1,p1,icmp,default,,,,39.7392,-104.9903,,,,,Absent
10.255.0.111,,p2,p2,icmp,default,,,,39.7392,-104.9903,,,,,Absent
10.255.0.112,,p3,p3,icmp,default,,,,39.7392,-104.9903,,,,,Absent
10.255.0.113,,p4,p4,icmp,default,,,,39.7392,-104.9903,,,,,Absent
10.255.0.114,,rr1,rr1,icmp,default,,,,39.7392,-104.9903,,,,,Absent
10.255.0.115,,border1,border1,icmp,default,,,,34.0522,-118.2437,,,,,Absent
10.255.0.116,,spine1,spine1,icmp,default,,,,34.0522,-118.2437,,,,,Absent
10.255.0.117,,spine2,spine2,icmp,default,,,,34.0522,-118.2437,,,,,Absent
10.255.0.118,,leaf1,leaf1,icmp,default,,,,34.0522,-118.2437,,,,,Absent
10.255.0.119,,leaf2,leaf2,icmp,default,,,,34.0522,-118.2437,,,,,Absent
