deviceName,deviceIP,devicePort,deviceType,profile,exclude,context,cluster_class
br-core1,10.255.0.101,22,ssh,FRR,None,default,ssh-default
br-dist1,10.255.0.102,22,ssh,FRR,None,default,ssh-default
br-dist2,10.255.0.103,22,ssh,FRR,None,default,ssh-default
br-acc1,10.255.0.104,22,ssh,FRR,None,default,ssh-default
pe1,10.255.0.106,22,ssh,FRR,None,default,ssh-default
pe2,10.255.0.107,22,ssh,FRR,None,default,ssh-default
pe3,10.255.0.108,22,ssh,FRR,None,default,ssh-default
pe4,10.255.0.109,22,ssh,FRR,None,default,ssh-default
p1,10.255.0.110,22,ssh,FRR,None,default,ssh-default
p2,10.255.0.111,22,ssh,FRR,None,default,ssh-default
p3,10.255.0.112,22,ssh,FRR,None,default,ssh-default
p4,10.255.0.113,22,ssh,FRR,None,default,ssh-default
rr1,10.255.0.114,22,ssh,FRR,None,default,ssh-default
border1,10.255.0.115,22,ssh,FRR,None,default,ssh-default
spine1,10.255.0.116,22,ssh,FRR,None,default,ssh-default
spine2,10.255.0.117,22,ssh,FRR,None,default,ssh-default
leaf1,10.255.0.118,22,ssh,FRR,None,default,ssh-default
leaf2,10.255.0.119,22,ssh,FRR,None,default,ssh-default
